Título,Descrição,Preço,Local,Ano,KM Rodado
Chevrolet Onix,Onix 1.0 Joy SPE/4 manual,"R$ 52.900,00","Belo Horizonte, MG",2019/2019,72.000 Km
Honda CR-V,CR-V 2.0 16V 4X4 EXL (aut) automático,"R$ 89.000,00","Vassouras, RJ",2012/2012,80.000 Km
BMW Série 3,320i ActiveFlex automático,"R$ 114.900,00","Sinop, MT",2015/2015,10 Km
Hyundai HB20,HB20 1.6 Comfort Plus (Aut) automático,"R$ 70.900,00","Taubaté, SP",2018/2019,56.000 Km
Chevrolet Tracker,Tracker 1.2 Turbo Premier (Aut) automático,"R$ 108.900,00","Belo Horizonte, MG",2020/2021,40.000 Km
Volkswagen Up!,Up! 1.0 12v E-Flex move up! 4p manual,"R$ 39.900,00","Paraíba do Sul, RJ",2014/2015,7.000 Km
Ford Fiesta Hatch,Fiesta Hatch SE 1.0 RoCam (Flex) manual,"R$ 31.990,00","Contagem, MG",2014/2014,98.081 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 2p manual,"R$ 15.500,00","Curitiba, PR",2009/2009,240.000 Km
Chevrolet Classic,Corsa Sedan Classic Life 1.0 VHC manual,"R$ 16.000,00","São José, SC",2006/2006,180.000 Km
Chevrolet Astra Hatch,Astra Hatch GL 1.8 MPFi manual,"R$ 16.900,00","Araranguá, SC",2000/2000,233.000 Km
Chevrolet Classic,Corsa Sedan Classic Life 1.0 (Flex) manual,"R$ 17.900,00","Londrina, PR",2006/2007,300 Km
Chevrolet Celta,Celta 1.0 VHC 2p manual,"R$ 17.900,00","Joinville, SC",2003/2004,188.295 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 2p manual,"R$ 18.900,00","Rio de Janeiro, RJ",2010/2010,N/D
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 18.900,00","Curitiba, PR",2006/2006,140.000 Km
Fiat Siena,Siena Fire 1.0 8V manual,"R$ 18.900,00","Curitiba, PR",2006/2006,260.000 Km
Volkswagen Fox,Fox City 1.0 8V (Flex) manual,"R$ 18.900,00","Cordeiro, RJ",2005/2005,243.000 Km
Fiat Uno Mille,Uno Mille Fire 1.0 (Flex) 4P manual,"R$ 18.987,00","Belo Horizonte, MG",2008/2008,153 Km
Volkswagen Gol,Gol City 1.0 (G4) (Flex) manual,"R$ 19.000,00","Orleans, SC",2007/2007,101 Km
Chevrolet Celta,Celta Life 1.0 VHCE (Flex) 2p manual,"R$ 19.900,00","Curitiba, PR",2008/2009,300 Km
Ford Ka,Ka Class 1.0 (Flex) manual,"R$ 19.900,00","Serra, ES",2009/2009,121.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 19.990,00","Rio de Janeiro, RJ",2012/2012,158.000 Km
Renault Clio,Clio Hatch. Campus 1.0 16V (flex) 2p manual,"R$ 19.990,00","Curitiba, PR",2010/2011,193.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 20.900,00","Rio de Janeiro, RJ",2012/2012,88.888 Km
Fiat Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p manual,"R$ 20.900,00","Colombo, PR",2008/2009,145.000 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 2p manual,"R$ 21.099,00","Rio de Janeiro, RJ",2011/2012,118.861 Km
Chevrolet Classic,Classic Life 1.0 VHCE (Flex) manual,"R$ 21.700,00","Catanduva, SP",2009/2010,195.865 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 4p manual,"R$ 21.900,00","São Gonçalo, RJ",2010/2011,140.000 Km
Renault Sandero,Sandero Authentique 1.0 16V (flex) manual,"R$ 21.900,00","São Paulo, SP",2010/2010,196.000 Km
Chevrolet Classic,Corsa Sedan Classic Spirit 1.0 (Flex) manual,"R$ 21.900,00","São Gonçalo, RJ",2007/2008,218.519 Km
Ford Focus Hatch,Focus Hatch GLX 1.6 8V manual,"R$ 21.900,00","Joinville, SC",2007/2008,119.000 Km
Chevrolet Zafira,Zafira Comfort 2.0 (Flex) manual,"R$ 21.900,00","São Paulo, SP",2007/2007,260.000 Km
Citroën C3,C3 XTR 1.6 16V (flex) manual,"R$ 21.900,00","Araquari, SC",2006/2007,185.762 Km
Chevrolet Corsa Hatch,Corsa Hatch Maxx 1.0 (Flex) manual,"R$ 21.900,00","São Paulo, SP",2006/2007,200.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 21.900,00","Cotia, SP",2006/2007,127.600 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 21.990,00","Mogi das Cruzes, SP",2006/2007,128.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 21.999,00","São Bernardo do Campo, SP",2012/2012,90.000 Km
Volkswagen Gol,Gol 1.0 (G4) (Flex) 2p manual,"R$ 21.999,00","Contagem, MG",2010/2011,100.000 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 2p manual,"R$ 22.199,00","Rio de Janeiro, RJ",2012/2013,77.672 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 22.390,00","São Paulo, SP",2008/2008,152.000 Km
Renault Logan,Logan Authentique 1.0 16V (flex) manual,"R$ 22.700,00","Catanduva, SP",2011/2011,250.094 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 2p manual,"R$ 22.890,00","Barueri, SP",2011/2012,160 Km
Peugeot 206,206 Hatch. Feline Automatic 1.6 16V (flex) automático,"R$ 22.890,00","São Paulo, SP",2008/2008,139.234 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 2p manual,"R$ 22.900,00","Criciúma, SC",2013/2013,94.522 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 2p manual,"R$ 22.900,00","São Bernardo do Campo, SP",2013/2013,121.008 Km
Fiat Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p manual,"R$ 22.900,00","São José do Rio Preto, SP",2013/2013,122.889 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 2p manual,"R$ 22.900,00","Curitiba, PR",2011/2012,83.514 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 2p manual,"R$ 22.900,00","Manaus, AM",2012/2012,98.000 Km
Chevrolet Classic,Classic 1.0 VHC (Flex) manual,"R$ 22.900,00","Apucarana, PR",2010/2011,117.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 22.900,00","Campo Grande, MS",2011/2011,120.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 22.900,00","Guarulhos, SP",2010/2011,102.229 Km
Chevrolet Classic,Classic Life 1.0 VHCE (Flex) manual,"R$ 22.900,00","Curitiba, PR",2009/2010,149.000 Km
Citroën C3,C3 XTR 1.4 8V (flex) manual,"R$ 22.900,00","São Paulo, SP",2007/2008,121.000 Km
Fiat Palio,Palio ELX 1.3 8V (Flex) manual,"R$ 22.900,00","São Paulo, SP",2005/2005,206.000 Km
Chevrolet Corsa Sedan,Corsa Sedan 1.0 8V manual,"R$ 22.900,00","Jundiaí, SP",2004/2004,124.895 Km
Fiat Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p manual,"R$ 23.000,00","Inhumas, GO",2013/2013,86.000 Km
Renault Sandero,Sandero Authentique 1.0 16V (flex) manual,"R$ 23.000,00","Porto Ferreira, SP",2010/2011,300 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 4p manual,"R$ 23.000,00","Canoinhas, SC",2010/2010,100.000 Km
Volkswagen Fusca,Fusca 1300 manual,"R$ 23.000,00","Santo André, SP",1981/1981,33.905 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 23.099,00","Rio de Janeiro, RJ",2012/2013,62.153 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 23.800,00","São Paulo, SP",2008/2009,95.000 Km
Volkswagen Polo,Polo Hatch. 1.6 8V (Flex) manual,"R$ 23.890,00","São Paulo, SP",2005/2005,148.245 Km
Fiat Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p manual,"R$ 23.900,00","Quixadá, CE",2013/2013,95.850 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 2p manual,"R$ 23.900,00","Brasília, DF",2012/2013,176.424 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)2p manual,"R$ 23.900,00","Curitiba, PR",2012/2013,300 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 2p manual,"R$ 23.900,00","São Paulo, SP",2012/2013,138.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 23.900,00","São João de Meriti, RJ",2012/2013,102.000 Km
Peugeot 207 Sedan,207 Passion XR 1.4 8V (flex) manual,"R$ 23.900,00","São Paulo, SP",2012/2012,148.110 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 23.900,00","Mogi das Cruzes, SP",2012/2012,150.000 Km
Chevrolet Celta,Celta Life 1.0 VHCE (Flex) 2p manual,"R$ 23.900,00","Campinas, SP",2011/2011,160.286 Km
Fiat Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p manual,"R$ 23.900,00","Cotia, SP",2010/2011,234.000 Km
Chevrolet Celta,Celta Life 1.0 VHCE (Flex) 2p manual,"R$ 23.900,00","Campinas, SP",2011/2011,160.286 Km
Renault Logan,Logan Expression 1.0 16V (flex) manual,"R$ 23.900,00","São Paulo, SP",2010/2011,116.000 Km
Kia Picanto,Picanto EX 1.0 manual,"R$ 23.900,00","Curitiba, PR",2010/2011,158.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.0 (Flex) manual,"R$ 23.900,00","Aparecida de Goiânia, GO",2009/2009,121.281 Km
Volkswagen Fox,Fox City 1.0 8V (Flex) manual,"R$ 23.900,00","São Paulo, SP",2008/2009,185.050 Km
Volkswagen Gol,Gol Power 1.6 (G4) (Flex) manual,"R$ 23.900,00","Duque de Caxias, RJ",2007/2008,98.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 23.900,00","Belo Horizonte, MG",2007/2008,230.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 23.990,00","Campinas, SP",2013/2013,142.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 23.990,00","Barretos, SP",2011/2012,99.900 Km
Chevrolet Celta,Celta Life 1.0 VHCE (Flex) 4p manual,"R$ 23.990,00","São Paulo, SP",2010/2011,135.000 Km
Ford Ka,Ka Class 1.6 (Flex) manual,"R$ 23.990,00","Mogi das Cruzes, SP",2009/2009,143.283 Km
Chevrolet Corsa Sedan,Corsa Sedan 1.0 8V manual,"R$ 23.990,00","Campinas, SP",2003/2004,140.000 Km
Fiat Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p manual,"R$ 24.000,00","São Sebastião do Paraíso, MG",2009/2010,111.000 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 24.390,00","São Paulo, SP",2010/2011,173.000 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 24.390,00","São Paulo, SP",2009/2009,155.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 24.400,00","Osasco, SP",2007/2008,150.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 24.500,00","Rio Branco, AC",2011/2012,89.000 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 24.790,00","Osasco, SP",2009/2010,134.000 Km
Chevrolet Prisma,Prisma Joy 1.4 (Flex) manual,"R$ 24.790,00","Santo André, SP",2006/2007,181.000 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 24.889,00","São Paulo, SP",2008/2009,133.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 24.890,00","Curitiba, PR",2008/2009,103.835 Km
Jac J2,J2 1.4 16V VVT manual,"R$ 24.900,00","Mogi das Cruzes, SP",2013/2014,98.000 Km
Renault Clio,Clio Expression 1.0 16V (Flex) manual,"R$ 24.900,00","São Paulo, SP",2012/2013,80.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 24.900,00","São Paulo, SP",2012/2013,61.000 Km
Peugeot 207 SW,207 SW XR 1.4 8V (flex) manual,"R$ 24.900,00","Fazenda Rio Grande, PR",2011/2012,157.702 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 24.900,00","Fortaleza, CE",2011/2012,58.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 24.900,00","Campinas, SP",2012/2012,205.000 Km
Peugeot 207 SW,207 SW XR 1.4 8V (flex) manual,"R$ 24.900,00","Campinas, SP",2011/2012,130.080 Km
Fiat Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p manual,"R$ 24.900,00","Curitiba, PR",2011/2012,136.388 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 4p manual,"R$ 24.900,00","Manaus, AM",2012/2012,107.000 Km
Peugeot 207,207 Hatch XR 1.4 8V (flex) 4p manual,"R$ 24.900,00","Curitiba, PR",2011/2012,103.009 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 24.900,00","Manaus, AM",2010/2011,90.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 24.900,00","São Paulo, SP",2009/2010,153.000 Km
Renault Logan,Logan Expression 1.6 8V Hi-Torque (flex) manual,"R$ 24.900,00","São José do Rio Preto, SP",2008/2009,167.150 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 24.900,00","São José dos Pinhais, PR",2008/2009,149.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 24.900,00","Joinville, SC",2008/2009,149.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 24.900,00","Taubaté, SP",2008/2009,148.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 24.900,00","São Paulo, SP",2008/2009,130.000 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 24.900,00","Joinville, SC",2008/2008,127.600 Km
Citroën C3,C3 XTR 1.6 16V (flex) manual,"R$ 24.900,00","Mogi Guaçu, SP",2006/2007,175.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) manual,"R$ 24.900,00","Valinhos, SP",2004/2005,180.000 Km
Renault Sandero,Sandero Authentique 1.0 16V (flex) manual,"R$ 24.980,00","Campinas, SP",2012/2012,120.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 24.990,00","São Paulo, SP",2013/2013,81.334 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 24.990,00","São Paulo, SP",2013/2013,81.334 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)2p manual,"R$ 24.990,00","Brasília, DF",2013/2013,155.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 24.990,00","Campinas, SP",2011/2012,158.000 Km
Volkswagen Gol,Gol 1.0 (G4) (Flex) 4p manual,"R$ 24.990,00","Botucatu, SP",2010/2011,223.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 24.990,00","Curitiba, PR",2009/2010,165.000 Km
Ford Ka,Ka 1.6 (Flex) manual,"R$ 24.990,00","Porto Alegre, RS",2008/2009,141.718 Km
Volkswagen Fox,Fox Plus 1.0 8V (Flex) manual,"R$ 24.990,00","São Paulo, SP",2007/2008,163.000 Km
Volkswagen Polo Sedan,Polo Sedan 1.6 8V manual,"R$ 24.990,00","Campinas, SP",2004/2004,135.100 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 24.996,00","Curitiba, PR",2010/2011,98.000 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)2p manual,"R$ 25.000,00","Araçatuba, SP",2012/2013,180.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.000,00","Aracaju, SE",2011/2012,104.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.0 (Flex) manual,"R$ 25.000,00","Iguatu, CE",2009/2009,92.000 Km
Ford Fiesta Sedan,Fiesta Sedan Class 1.6 (Flex) manual,"R$ 25.000,00","Indaiatuba, SP",2009/2009,205.000 Km
Chevrolet Prisma,Prisma Joy 1.4 (Flex) manual,"R$ 25.000,00","Botucatu, SP",2008/2008,169.565 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.300,00","Osasco, SP",2012/2013,105.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 25.490,00","Jaú, SP",2009/2010,130.000 Km
Fiat Palio,Palio ELX 1.4 (Flex) manual,"R$ 25.490,00","São José dos Campos, SP",2006/2007,194.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.500,00","Natal, RN",2010/2011,123.000 Km
Ford Focus Hatch,Focus Hatch GL 1.6 8V (Flex) manual,"R$ 25.500,00","Suzano, SP",2008/2009,131.000 Km
Ford EcoSport,Ecosport XL 1.6 (Flex) manual,"R$ 25.500,00","Guarapuava, PR",2006/2007,178.128 Km
Volkswagen Gol,Gol 1.0 8V (G4)(Flex)2p manual,"R$ 25.800,00","Presidente Venceslau, SP",2011/2012,146.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.890,00","São Paulo, SP",2011/2012,222.548 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 25.890,00","Belo Horizonte, MG",2010/2010,129.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 25.890,00","São Paulo, SP",2009/2009,124.187 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 2p manual,"R$ 25.900,00","Curitiba, PR",2014/2015,120.908 Km
Renault Clio,Clio Authentique 1.0 16V (Flex) 4p manual,"R$ 25.900,00","Colombo, PR",2014/2014,98.000 Km
Chevrolet Celta,Celta LS 1.0 (Flex) 2p manual,"R$ 25.900,00","Jundiaí, SP",2013/2014,171.000 Km
Peugeot 207,207 Hatch XR Sport 1.4 8V (flex) manual,"R$ 25.900,00","São Paulo, SP",2012/2013,117.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.900,00","Cascavel, PR",2012/2013,88.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.900,00","São Paulo, SP",2012/2013,105.750 Km
Jac J3,J3 1.4 manual,"R$ 25.900,00","Jaú, SP",2012/2013,85.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.900,00","São José dos Campos, SP",2012/2013,133.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 25.900,00","São Gonçalo, RJ",2012/2013,125.100 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.900,00","Ponta Grossa, PR",2012/2013,118.378 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.900,00","Mogi das Cruzes, SP",2012/2013,100.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 25.900,00","São João de Meriti, RJ",2012/2013,89.000 Km
Renault Logan,Logan Expression 1.0 16V (flex) manual,"R$ 25.900,00","Aparecida de Goiânia, GO",2011/2012,129.000 Km
Jac J6,J6 2.0 16V manual,"R$ 25.900,00","Sorocaba, SP",2011/2012,118.000 Km
Renault Logan,Logan Expression 1.6 8V Hi-Torque (flex) manual,"R$ 25.900,00","São João de Meriti, RJ",2012/2012,152.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.900,00","Natal, RN",2011/2012,99.000 Km
Ford Ka,Ka 1.0 (Flex) manual,"R$ 25.900,00","Brasília, DF",2012/2012,132.000 Km
Peugeot 207 Sedan,207 Passion XS 1.6 16V (flex) manual,"R$ 25.900,00","São Paulo, SP",2011/2012,110.000 Km
Renault Sandero,Sandero Authentique 1.0 16V (flex) manual,"R$ 25.900,00","Curitiba, PR",2012/2012,150.000 Km
Renault Logan,Logan Expression 1.6 8V Hi-Torque (flex) manual,"R$ 25.900,00","Curitiba, PR",2012/2012,164.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 25.900,00","Avaré, SP",2011/2012,81.500 Km
Chevrolet Celta,Celta LT 1.0 (Flex) manual,"R$ 25.900,00","São João de Meriti, RJ",2012/2012,87.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","São Paulo, SP",2011/2012,149.428 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","Carapicuíba, SP",2011/2012,93.000 Km
Chevrolet Classic,Classic LS VHC E 1.0 (Flex) manual,"R$ 25.900,00","Curitiba, PR",2011/2012,300 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","São Paulo, SP",2010/2011,188.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","Pinhais, PR",2010/2011,121.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","São Paulo, SP",2010/2011,130.200 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 25.900,00","São Paulo, SP",2011/2011,150.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.900,00","São Paulo, SP",2010/2011,187.413 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 25.900,00","Osasco, SP",2010/2011,159.420 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.900,00","Campinas, SP",2010/2011,127.000 Km
Peugeot 207,207 Hatch XS 1.6 16V (flex) manual,"R$ 25.900,00","São Leopoldo, RS",2011/2011,139.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.900,00","São Mateus do Sul, PR",2011/2011,102.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 25.900,00","Rio das Ostras, RJ",2010/2011,161.000 Km
Volkswagen Gol,Gol 1.0 (G5) (Flex) manual,"R$ 25.900,00","Araruama, RJ",2010/2011,140.000 Km
Renault Symbol,Symbol 1.6 8V Expression Hi-Torque (flex) manual,"R$ 25.900,00","São Paulo, SP",2011/2011,103.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 25.900,00","Nova Friburgo, RJ",2010/2010,106.000 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 25.900,00","Curitiba, PR",2009/2010,149.000 Km
Chevrolet Meriva,Meriva Joy 1.4 (Flex) manual,"R$ 25.900,00","Resende, RJ",2009/2010,180.000 Km
Fiat Siena,Siena EL 1.0 8V (Flex) manual,"R$ 25.900,00","Mogi Mirim, SP",2010/2010,150.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 25.900,00","Diadema, SP",2009/2010,120.010 Km
Ford Fiesta Hatch,Fiesta Hatch Trail 1.0 (Flex) manual,"R$ 25.900,00","Belo Horizonte, MG",2010/2010,142.950 Km
Citroën C3,C3 GLX 1.4 8V (flex) manual,"R$ 25.900,00","São Gonçalo, RJ",2009/2010,118.000 Km
Ford Ka,Ka 1.6 (Flex) manual,"R$ 25.900,00","Várzea Paulista, SP",2009/2010,86.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","Belo Horizonte, MG",2010/2010,142.950 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","Santo André, SP",2009/2010,135.000 Km
Renault Sandero,Sandero Vibe 1.6 8V Hi-Torque (flex) manual,"R$ 25.900,00","São Paulo, SP",2009/2010,170.000 Km
Fiat Palio,Palio Fire 1.0 8V (Flex) 4p manual,"R$ 25.900,00","Curitiba, PR",2009/2010,188.338 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.900,00","São Paulo, SP",2009/2010,192.000 Km
Chevrolet Meriva,Meriva Joy 1.4 (Flex) manual,"R$ 25.900,00","Sapucaia do Sul, RS",2009/2010,140.000 Km
Chevrolet Prisma,Prisma Maxx 1.0 (Flex) manual,"R$ 25.900,00","Indaiatuba, SP",2010/2010,205.000 Km
Citroën C3,C3 Exclusive 1.4 8V (flex) manual,"R$ 25.900,00","Osasco, SP",2010/2010,146.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.0 (Flex) manual,"R$ 25.900,00","Brasília, DF",2009/2010,140.000 Km
Ford Fiesta Hatch,Fiesta Hatch 1.6 (Flex) manual,"R$ 25.900,00","Curitiba, PR",2010/2010,109.878 Km
Ford Fiesta Sedan,Fiesta Sedan 1.0 (Flex) manual,"R$ 25.900,00","Campo Grande, MS",2009/2010,140.000 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 4p manual,"R$ 25.900,00","Porto Alegre, RS",2009/2010,120.000 Km
Chevrolet Celta,Celta Spirit 1.0 VHCE (Flex) 4p manual,"R$ 25.900,00","Colombo, PR",2009/2010,118.000 Km
Ford Fiesta Sedan,Fiesta Sedan 1.6 (Flex) manual,"R$ 25.900,00","Fortaleza, CE",2010/2010,128.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.900,00","Guarulhos, SP",2009/2010,167.651 Km
Chevrolet Prisma,Prisma Joy 1.4 (Flex) manual,"R$ 25.900,00","Campinas, SP",2009/2009,215.082 Km
Volkswagen Gol,Gol Trend 1.0 (G5) (Flex) manual,"R$ 25.900,00","Botucatu, SP",2009/2009,114.730 Km
Ford Focus Hatch,Focus Hatch GL 1.6 8V (Flex) manual,"R$ 25.900,00","Botucatu, SP",2008/2009,198.000 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.900,00","Belo Horizonte, MG",2008/2009,184.352 Km
Fiat Siena,Siena Fire 1.0 8V (Flex) manual,"R$ 25.900,00","Curitiba, PR",2008/2009,177.000 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 25.900,00","São Bernardo do Campo, SP",2009/2009,200.000 Km
Renault Sandero,Sandero Expression 1.0 16V (flex) manual,"R$ 25.900,00","Jacareí, SP",2009/2009,222.000 Km
Volkswagen Voyage,Voyage 1.0 Total Flex manual,"R$ 25.900,00","Jacareí, SP",2009/2009,171.000 Km
Renault Sandero,Sandero Expression 1.6 8V (flex) manual,"R$ 25.900,00","Joinville, SC",2008/2008,164.633 Km
Chevrolet Meriva,Meriva Maxx 1.8 (Flex) manual,"R$ 25.900,00","Porto Alegre, RS",2008/2008,107.000 Km
Chevrolet Prisma,Prisma Maxx 1.4 (Flex) manual,"R$ 25.900,00","São José do Rio Preto, SP",2007/2008,192.000 Km
Fiat Palio,Palio ELX 1.4 (Flex) manual,"R$ 25.900,00","Botucatu, SP",2008/2008,120.000 Km
Fiat Idea,Idea ELX 1.4 (Flex) manual,"R$ 25.900,00","Atibaia, SP",2007/2008,220.000 Km
Fiat Palio,Palio 1.8 R (Flex) manual,"R$ 25.900,00","São Paulo, SP",2008/2008,167.495 Km
Chevrolet Corsa Sedan,Corsa Sedan Maxx 1.8 (Flex) manual,"R$ 25.900,00","Catanduva, SP",2006/2007,161.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) manual,"R$ 25.900,00","Ponta Grossa, PR",2006/2006,157.000 Km
Volkswagen Fox,Fox Plus 1.6 8V (Flex) 2p manual,"R$ 25.900,00","Mogi das Cruzes, SP",2005/2006,207.590 Km
Chevrolet Meriva,Meriva Maxx 1.8 (Flex) manual,"R$ 25.900,00","Lins, SP",2006/2006,149.000 Km
Volkswagen Parati,Parati Track Field 1.6 MI (Flex) manual,"R$ 25.900,00","Porto Alegre, RS",2005/2006,100.000 Km
Volkswagen Gol,Gol Copa 1.6 (G4) (Flex) manual,"R$ 25.900,00","Catanduva, SP",2006/2006,135.000 Km
