Título,Descrição,Preço,Local,Ano,KM Rodado
Volkswagen Fox,Fox 1.0 TEC (Flex) 4p manual,"R$ 44.900,00","Joinville, SC",2013/2014,99.000 Km
Hyundai HB20S,HB20S 1.0 Comfort Plus manual,"R$ 44.900,00","Sete Lagoas, MG",2013/2014,N/D
Chevrolet Prisma,Prisma 1.0 LT SPE/4 manual,"R$ 44.900,00","Goiânia, GO",2013/2014,94.000 Km
Volkswagen Polo,Polo Hatch 1.6 VHT Total Flex manual,"R$ 44.900,00","Bauru, SP",2014/2014,115.000 Km
Citroën C4 Picasso,C4 Picasso 2.0 16V BVA (Aut) automático,"R$ 44.900,00","São Paulo, SP",2014/2014,112.548 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.900,00","Porto Alegre, RS",2014/2014,45.800 Km
Hyundai HB20,HB20 1.0 Comfort manual,"R$ 44.900,00","São Paulo, SP",2014/2014,119.000 Km
Volkswagen Fox,Fox 1.0 TEC (Flex) 4p manual,"R$ 44.900,00","São José dos Campos, SP",2013/2014,115.705 Km
Chevrolet Prisma,Prisma 1.4 LT SPE/4 (Aut) automático,"R$ 44.900,00","São João de Meriti, RJ",2014/2014,71.347 Km
Volkswagen Fox,Fox 1.6 VHT (Flex) manual,"R$ 44.900,00","São Paulo, SP",2013/2014,81.000 Km
Volkswagen Fox,Fox 1.0 TEC (Flex) 4p manual,"R$ 44.900,00","Contagem, MG",2014/2014,95.503 Km
Volkswagen Fox,Fox 1.0 TEC (Flex) 4p manual,"R$ 44.900,00","Contagem, MG",2014/2014,95.503 Km
Volkswagen CrossFox,CrossFox 1.6 VHT (Flex) manual,"R$ 44.900,00","Nova Friburgo, RJ",2012/2013,128.000 Km
Ford Focus Sedan,Focus Sedan GLX 2.0 16V (Flex) manual,"R$ 44.900,00","Araranguá, SC",2013/2013,168.000 Km
Fiat Strada,Strada Working 1.4 (Flex) (Cabine Estendida) manual,"R$ 44.900,00","Sumaré, SP",2012/2013,187.738 Km
Fiat Strada,Strada Working 1.4 (Flex) (Cabine Estendida) manual,"R$ 44.900,00","Fernandópolis, SP",2012/2013,173.000 Km
Citroën Aircross,Aircross Exclusive 1.6 16V (flex) manual,"R$ 44.900,00","Itapema, SC",2012/2013,97.800 Km
Nissan Sentra,Sentra Special Edition 2.0 16V CVT (flex) automático,"R$ 44.900,00","Curitiba, PR",2012/2013,95.000 Km
Volkswagen Saveiro,Saveiro Trooper 1.6 (Flex) (cab. estendida) manual,"R$ 44.900,00","Belo Horizonte, MG",2012/2013,181.670 Km
Volkswagen CrossFox,CrossFox I-Motion 1.6 VHT (Flex) automático,"R$ 44.900,00","Ribeirão Preto, SP",2012/2013,117.000 Km
Fiat Punto,Punto Sporting 1.8 16V (Flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2012/2013,98.999 Km
Hyundai HB20,HB20 1.6 Comfort manual,"R$ 44.900,00","Brasília, DF",2012/2013,191.198 Km
Fiat Bravo,Bravo Sporting 1.8 16V Dualogic (Flex) automático,"R$ 44.900,00","Rio Verde, GO",2012/2013,132.000 Km
Chevrolet Onix,Onix 1.0 LT SPE/4 manual,"R$ 44.900,00","Salto Grande, SP",2013/2013,92.900 Km
Hyundai HB20,HB20 1.6 Premium manual,"R$ 44.900,00","Fortaleza, CE",2013/2013,71.000 Km
Fiat Uno Mille,Uno Mille Fire Grazie Mille 1.0 (Flex) manual,"R$ 44.900,00","Artur Nogueira, SP",2013/2013,109.000 Km
Chevrolet Spin,Spin LT 5S 1.8 (Aut) (Flex) automático,"R$ 44.900,00","Canoas, RS",2012/2013,130.000 Km
Fiat 500,500 Cult 1.4 8V manual,"R$ 44.900,00","São Paulo, SP",2012/2013,92.000 Km
Volkswagen CrossFox,CrossFox 1.6 VHT (Flex) manual,"R$ 44.900,00","Piracicaba, SP",2013/2013,142.000 Km
Hyundai HB20,HB20 1.6 Comfort Plus manual,"R$ 44.900,00","Mogi das Cruzes, SP",2013/2013,130.000 Km
Volkswagen CrossFox,CrossFox 1.6 VHT (Flex) manual,"R$ 44.900,00","Rio Branco, AC",2012/2013,51.700 Km
Honda Fit,Fit LX 1.4 (flex) manual,"R$ 44.900,00","Belo Horizonte, MG",2012/2013,153.936 Km
Volkswagen CrossFox,CrossFox I-Motion 1.6 VHT (Flex) automático,"R$ 44.900,00","Joinville, SC",2012/2013,162.000 Km
Fiat 500,500 Cult 1.4 8V manual,"R$ 44.900,00","Salvador, BA",2012/2013,46.668 Km
