Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado,Classificação,Preço Predito
Volkswagen,Gol,Gol 1.0 MPI (Flex),50900,2020,32846,Manual,Fortaleza,CE,Mediano,50900.0
Volkswagen,Gol,Gol 1.0 MPI (Flex),50900,2020,47241,Manual,Goiânia,GO,Mediano,50900.0
Renault,Kwid,Kwid 1.0 Zen,50900,2020,59400,Manual,Goiânia,GO,Mediano,50710.0
Fiat,Uno,Uno 1.0 Attractive,50900,2020,34000,Manual,Manaus,AM,Mediano,50900.0
Fiat,Uno,Uno 1.0 Attractive,50900,2020,71353,Manual,Duque de Caxias,RJ,Mediano,49470.0
Volkswagen,Gol,Gol 1.6 MSI (Flex),50900,2020,200,Manual,Nova Iguaçu,RJ,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Like,50900,2020,48414,Manual,Ribeirão Preto,SP,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36841,Manual,Americana,SP,Mediano,49900.0
Renault,Kwid,Kwid 1.0 Outsider,50900,2019,79700,Manual,Luziânia,GO,Barato,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2019,31889,Manual,Ponta Grossa,PR,Mediano,51230.0
Ford,Ka,Ka 1.0 SE,50900,2020,90100,Manual,Praia Grande,SP,Barato,50900.0
Volkswagen,Gol,Gol 1.0 MPI (Flex),50900,2019,72164,Manual,Praia Grande,SP,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36391,Manual,Rio de Janeiro,RJ,Mediano,50445.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Belo Horizonte,MG,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,37228,Manual,Salvador,BA,Mediano,50945.0
Ford,Ka Sedan,Ka Sedan SE 1.0 (Flex),50900,2020,55000,Manual,Contagem,MG,Mediano,50900.0
Fiat,Uno,Uno Attractive 1.0 (Flex),50900,2020,62000,Manual,Belém,PA,Mediano,49900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,37037,Manual,Londrina,PR,Mediano,50945.0
Renault,Sandero,Sandero Authentique 1.0 12V SCe (Flex),50900,2019,57000,Manual,São Paulo,SP,Mediano,50900.0
Ford,Ka,Ka 1.0 SE,50900,2019,74000,Manual,Brasília,DF,Mediano,50900.0
Ford,Ka Sedan,Ka Sedan SE 1.0 (Flex),50900,2019,55000,Manual,Salvador,BA,Mediano,51445.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Belo Horizonte,MG,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Belo Horizonte,MG,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Contagem,MG,Mediano,50900.0
Citroën,C3,C3 Attraction 1.2 12V (Flex),50900,2020,38971,Manual,Rio de Janeiro,RJ,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2019,57699,Manual,Jundiaí,SP,Mediano,41900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2019,65965,Manual,Belo Horizonte,MG,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Belo Horizonte,MG,Mediano,50900.0
Renault,Sandero,Sandero 1.0 Life,50900,2019,62590,Manual,Belo Horizonte,MG,Mediano,48900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Belo Horizonte,MG,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Contagem,MG,Mediano,50900.0
Renault,Sandero,Sandero Expression 1.0 12V SCe (Flex),50900,2019,70803,Manual,São José dos Campos,SP,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2019,31889,Manual,Ponta Grossa,PR,Mediano,51230.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Belo Horizonte,MG,Mediano,50900.0
Fiat,Mobi,Mobi 1.0 Evo Like,50900,2020,36502,Manual,Belo Horizonte,MG,Mediano,50900.0
Renault,Sandero,Sandero 1.0 Life,50900,2019,79000,Manual,Salvador,BA,Barato,50900.0
Citroën,C3,C3 Attraction 1.2 12V (Flex),50900,2020,50490,Manual,Rio de Janeiro,RJ,Mediano,50900.0
Renault,Kwid,Kwid 1.0 Outsider,50900,2019,79700,Manual,Brasília,DF,Barato,50900.0
Renault,Kwid,Kwid 1.0 Outsider,50900,2019,79700,Manual,Valparaíso de Goiás,GO,Barato,50900.0
Chevrolet,Joy,Joy 1.0 SPE/4 Eco,50900,2019,200,Manual,Nova Iguaçu,RJ,Mediano,50900.0
Peugeot,208,208 1.2 Active,50900,2019,48547,Manual,Curitiba,PR,Mediano,50900.0
Renault,Kwid,Kwid 1.0 Outsider,50900,2019,39805,Manual,Belém,PA,Mediano,50900.0
Renault,Sandero,Sandero 1.0 Zen,50900,2019,74000,Manual,Contagem,MG,Mediano,50900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2019,52504,Manual,Cuiabá,MT,Mediano,50900.0
Volkswagen,Gol,Gol 1.0 MPI (Flex),50900,2019,49081,Manual,Jundiaí,SP,Mediano,50900.0
Ford,Ka,Ka 1.0 SE (Flex),50900,2019,62600,Manual,Osasco,SP,Mediano,50900.0
Chevrolet,Onix,Onix 1.0 Joy SPE/4,50900,2018,86850,Manual,Osasco,SP,Barato,49945.0
