Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado,Classificação,Preço Predito
Chevrolet,Onix,Onix 1.0 Joy SPE/4,52900,2019,72000,Manual,Belo Horizonte,MG,Mediano,52900.0
Honda,CR-V,CR-V 2.0 16V 4X4 EXL (aut),89000,2012,80000,Automático,Vassouras,RJ,Mediano,52990.0
BMW,Série 3,320i ActiveFlex,114900,2015,10,Automático,Sinop,MT,Mediano,114900.0
Hyundai,HB20,HB20 1.6 Comfort Plus (Aut),70900,2018,56000,Automático,Taubaté,SP,Mediano,70900.0
Chevrolet,Tracker,Tracker 1.2 Turbo Premier (Aut),108900,2020,40000,Automático,Belo Horizonte,MG,Mediano,108900.0
Volkswagen,Up!,Up! 1.0 12v E-Flex move up! 4p,39900,2014,7000,Manual,Paraíba do Sul,RJ,Mediano,39900.0
Ford,Fiesta Hatch,Fiesta Hatch SE 1.0 RoCam (Flex),31990,2014,98081,Manual,Contagem,MG,Barato,31990.0
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 2p,15500,2009,240000,Manual,Curitiba,PR,Caro,15500.0
Chevrolet,Classic,Corsa Sedan Classic Life 1.0 VHC,16000,2006,180000,Manual,São José,SC,Caro,16000.0
Chevrolet,Astra Hatch,Astra Hatch GL 1.8 MPFi,16900,2000,233000,Manual,Araranguá,SC,Caro,16900.0
Chevrolet,Classic,Corsa Sedan Classic Life 1.0 (Flex),17900,2006,300,Manual,Londrina,PR,Mediano,17900.0
Chevrolet,Celta,Celta 1.0 VHC 2p,17900,2003,188295,Manual,Joinville,SC,Caro,16000.0
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 2p,18900,2010,0,Manual,Rio de Janeiro,RJ,Mediano,27900.0
Citroën,C3,C3 GLX 1.4 8V (flex),18900,2006,140000,Manual,Curitiba,PR,Caro,24889.0
Fiat,Siena,Siena Fire 1.0 8V,18900,2006,260000,Manual,Curitiba,PR,Caro,18900.0
Volkswagen,Fox,Fox City 1.0 8V (Flex),18900,2005,243000,Manual,Cordeiro,RJ,Caro,18900.0
Fiat,Uno Mille,Uno Mille Fire 1.0 (Flex) 4P,18987,2008,153,Manual,Belo Horizonte,MG,Mediano,18987.0
Volkswagen,Gol,Gol City 1.0 (G4) (Flex),19000,2007,101,Manual,Orleans,SC,Mediano,19000.0
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 2p,19900,2008,300,Manual,Curitiba,PR,Mediano,19900.0
Ford,Ka,Ka Class 1.0 (Flex),19900,2009,121000,Manual,Serra,ES,Barato,19900.0
Ford,Ka,Ka 1.0 (Flex),19990,2012,158000,Manual,Rio de Janeiro,RJ,Caro,19990.0
Renault,Clio,Clio Hatch. Campus 1.0 16V (flex) 2p,19990,2010,193000,Manual,Curitiba,PR,Caro,19990.0
Ford,Ka,Ka 1.0 (Flex),20900,2012,88888,Manual,Rio de Janeiro,RJ,Barato,20900.0
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p,20900,2008,145000,Manual,Colombo,PR,Caro,20900.0
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,21099,2011,118861,Manual,Rio de Janeiro,RJ,Barato,21099.0
Chevrolet,Classic,Classic Life 1.0 VHCE (Flex),21700,2009,195865,Manual,Catanduva,SP,Caro,21700.0
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,21900,2010,140000,Manual,São Gonçalo,RJ,Caro,21900.0
Renault,Sandero,Sandero Authentique 1.0 16V (flex),21900,2010,196000,Manual,São Paulo,SP,Caro,21900.0
Chevrolet,Classic,Corsa Sedan Classic Spirit 1.0 (Flex),21900,2007,218519,Manual,São Gonçalo,RJ,Caro,21900.0
Ford,Focus Hatch,Focus Hatch GLX 1.6 8V,21900,2007,119000,Manual,Joinville,SC,Barato,25900.0
Chevrolet,Zafira,Zafira Comfort 2.0 (Flex),21900,2007,260000,Manual,São Paulo,SP,Caro,21900.0
Citroën,C3,C3 XTR 1.6 16V (flex),21900,2006,185762,Manual,Araquari,SC,Caro,21900.0
Chevrolet,Corsa Hatch,Corsa Hatch Maxx 1.0 (Flex),21900,2006,200000,Manual,São Paulo,SP,Caro,21900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),21900,2006,127600,Manual,Cotia,SP,Barato,21900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),21990,2006,128000,Manual,Mogi das Cruzes,SP,Barato,21990.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 2p,21999,2012,90000,Manual,São Bernardo do Campo,SP,Barato,21999.0
Volkswagen,Gol,Gol 1.0 (G4) (Flex) 2p,21999,2010,100000,Manual,Contagem,MG,Barato,21999.0
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,22199,2012,77672,Manual,Rio de Janeiro,RJ,Barato,22199.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),22390,2008,152000,Manual,São Paulo,SP,Caro,22390.0
Renault,Logan,Logan Authentique 1.0 16V (flex),22700,2011,250094,Manual,Catanduva,SP,Caro,22700.0
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,22890,2011,160,Manual,Barueri,SP,Mediano,22890.0
Peugeot,206,206 Hatch. Feline Automatic 1.6 16V (flex),22890,2008,139234,Automático,São Paulo,SP,Caro,26900.0
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,22900,2013,94522,Manual,Criciúma,SC,Barato,22900.0
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,22900,2013,121008,Manual,São Bernardo do Campo,SP,Barato,22900.0
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p,22900,2013,122889,Manual,São José do Rio Preto,SP,Barato,22900.0
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,22900,2011,83514,Manual,Curitiba,PR,Barato,22900.0
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,22900,2012,98000,Manual,Manaus,AM,Barato,22900.0
Chevrolet,Classic,Classic 1.0 VHC (Flex),22900,2010,117000,Manual,Apucarana,PR,Barato,26900.0
Ford,Ka,Ka 1.0 (Flex),22900,2011,120000,Manual,Campo Grande,MS,Barato,22900.0
Ford,Ka,Ka 1.0 (Flex),22900,2010,102229,Manual,Guarulhos,SP,Barato,22900.0
Chevrolet,Classic,Classic Life 1.0 VHCE (Flex),22900,2009,149000,Manual,Curitiba,PR,Caro,22900.0
Citroën,C3,C3 XTR 1.4 8V (flex),22900,2007,121000,Manual,São Paulo,SP,Barato,22900.0
Fiat,Palio,Palio ELX 1.3 8V (Flex),22900,2005,206000,Manual,São Paulo,SP,Caro,25490.0
Chevrolet,Corsa Sedan,Corsa Sedan 1.0 8V,22900,2004,124895,Manual,Jundiaí,SP,Barato,23990.0
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p,23000,2013,86000,Manual,Inhumas,GO,Barato,23900.0
Renault,Sandero,Sandero Authentique 1.0 16V (flex),23000,2010,300,Manual,Porto Ferreira,SP,Mediano,26900.0
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,23000,2010,100000,Manual,Canoinhas,SC,Barato,23000.0
Volkswagen,Fusca,Fusca 1300,23000,1981,33905,Manual,Santo André,SP,Mediano,23000.0
Ford,Ka,Ka 1.0 (Flex),23099,2012,62153,Manual,Rio de Janeiro,RJ,Mediano,23099.0
Citroën,C3,C3 GLX 1.4 8V (flex),23800,2008,95000,Manual,São Paulo,SP,Barato,23800.0
Volkswagen,Polo,Polo Hatch. 1.6 8V (Flex),23890,2005,148245,Manual,São Paulo,SP,Caro,26900.0
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p,23900,2013,95850,Manual,Quixadá,CE,Barato,23900.0
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,23900,2012,176424,Manual,Brasília,DF,Caro,23900.0
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,23900,2012,300,Manual,Curitiba,PR,Mediano,29850.0
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,23900,2012,138000,Manual,São Paulo,SP,Caro,23900.0
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),23900,2012,102000,Manual,São João de Meriti,RJ,Barato,23900.0
Peugeot,207 Sedan,207 Passion XR 1.4 8V (flex),23900,2012,148110,Manual,São Paulo,SP,Caro,23900.0
Ford,Ka,Ka 1.0 (Flex),23900,2012,150000,Manual,Mogi das Cruzes,SP,Caro,23900.0
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 2p,23900,2011,160286,Manual,Campinas,SP,Caro,23900.0
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p,23900,2010,234000,Manual,Cotia,SP,Caro,23900.0
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 2p,23900,2011,160286,Manual,Campinas,SP,Caro,23900.0
Renault,Logan,Logan Expression 1.0 16V (flex),23900,2010,116000,Manual,São Paulo,SP,Barato,23900.0
Kia,Picanto,Picanto EX 1.0,23900,2010,158000,Manual,Curitiba,PR,Caro,23900.0
Ford,Fiesta Sedan,Fiesta Sedan 1.0 (Flex),23900,2009,121281,Manual,Aparecida de Goiânia,GO,Barato,23900.0
Volkswagen,Fox,Fox City 1.0 8V (Flex),23900,2008,185050,Manual,São Paulo,SP,Caro,23900.0
Volkswagen,Gol,Gol Power 1.6 (G4) (Flex),23900,2007,98000,Manual,Duque de Caxias,RJ,Barato,25900.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,23900,2007,230000,Manual,Belo Horizonte,MG,Caro,26900.0
Ford,Ka,Ka 1.0 (Flex),23990,2013,142000,Manual,Campinas,SP,Caro,23990.0
Ford,Ka,Ka 1.0 (Flex),23990,2011,99900,Manual,Barretos,SP,Barato,23990.0
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 4p,23990,2010,135000,Manual,São Paulo,SP,Caro,25445.0
Ford,Ka,Ka Class 1.6 (Flex),23990,2009,143283,Manual,Mogi das Cruzes,SP,Caro,23990.0
Chevrolet,Corsa Sedan,Corsa Sedan 1.0 8V,23990,2003,140000,Manual,Campinas,SP,Caro,23990.0
Fiat,Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p,24000,2009,111000,Manual,São Sebastião do Paraíso,MG,Barato,24000.0
Citroën,C3,C3 GLX 1.4 8V (flex),24390,2010,173000,Manual,São Paulo,SP,Caro,24390.0
Renault,Sandero,Sandero Expression 1.0 16V (flex),24390,2009,155000,Manual,São Paulo,SP,Caro,25645.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),24400,2007,150000,Manual,Osasco,SP,Caro,22390.0
Ford,Ka,Ka 1.0 (Flex),24500,2011,89000,Manual,Rio Branco,AC,Barato,24500.0
Citroën,C3,C3 GLX 1.4 8V (flex),24790,2009,134000,Manual,Osasco,SP,Caro,24790.0
Chevrolet,Prisma,Prisma Joy 1.4 (Flex),24790,2006,181000,Manual,Santo André,SP,Caro,25900.0
Citroën,C3,C3 Exclusive 1.4 8V (flex),24889,2008,133000,Manual,São Paulo,SP,Caro,24889.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24890,2008,103835,Manual,Curitiba,PR,Barato,31900.0
Jac,J2,J2 1.4 16V VVT,24900,2013,98000,Manual,Mogi das Cruzes,SP,Barato,24900.0
Renault,Clio,Clio Expression 1.0 16V (Flex),24900,2012,80000,Manual,São Paulo,SP,Barato,24900.0
Ford,Ka,Ka 1.0 (Flex),24900,2012,61000,Manual,São Paulo,SP,Mediano,24900.0
Peugeot,207 SW,207 SW XR 1.4 8V (flex),24900,2011,157702,Manual,Fazenda Rio Grande,PR,Caro,24900.0
Ford,Ka,Ka 1.0 (Flex),24900,2011,58000,Manual,Fortaleza,CE,Mediano,24900.0
Ford,Ka,Ka 1.0 (Flex),24900,2012,205000,Manual,Campinas,SP,Caro,24900.0
Peugeot,207 SW,207 SW XR 1.4 8V (flex),24900,2011,130080,Manual,Campinas,SP,Barato,24900.0
Fiat,Uno Mille,Uno Mille Fire Economy Way 1.0 (Flex) 4p,24900,2011,136388,Manual,Curitiba,PR,Caro,24900.0
Chevrolet,Celta,Celta LS 1.0 (Flex) 4p,24900,2012,107000,Manual,Manaus,AM,Barato,29900.0
Peugeot,207,207 Hatch XR 1.4 8V (flex) 4p,24900,2011,103009,Manual,Curitiba,PR,Barato,25900.0
Volkswagen,Gol,Gol 1.0 (G5) (Flex),24900,2010,90000,Manual,Manaus,AM,Barato,24900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),24900,2009,153000,Manual,São Paulo,SP,Caro,24900.0
Renault,Logan,Logan Expression 1.6 8V Hi-Torque (flex),24900,2008,167150,Manual,São José do Rio Preto,SP,Caro,24900.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24900,2008,149000,Manual,São José dos Pinhais,PR,Caro,24900.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24900,2008,149000,Manual,Joinville,SC,Caro,24900.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,24900,2008,148000,Manual,Taubaté,SP,Caro,24900.0
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),24900,2008,130000,Manual,São Paulo,SP,Barato,24900.0
Renault,Sandero,Sandero Expression 1.6 8V (flex),24900,2008,127600,Manual,Joinville,SC,Barato,29600.0
Citroën,C3,C3 XTR 1.6 16V (flex),24900,2006,175000,Manual,Mogi Guaçu,SP,Caro,24900.0
Volkswagen,Fox,Fox Plus 1.6 8V (Flex),24900,2004,180000,Manual,Valinhos,SP,Caro,24900.0
Renault,Sandero,Sandero Authentique 1.0 16V (flex),24980,2012,120000,Manual,Campinas,SP,Barato,24980.0
Ford,Ka,Ka 1.0 (Flex),24990,2013,81334,Manual,São Paulo,SP,Barato,24990.0
Ford,Ka,Ka 1.0 (Flex),24990,2013,81334,Manual,São Paulo,SP,Barato,24990.0
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,24990,2013,155000,Manual,Brasília,DF,Caro,24990.0
Ford,Ka,Ka 1.0 (Flex),24990,2011,158000,Manual,Campinas,SP,Caro,24990.0
Volkswagen,Gol,Gol 1.0 (G4) (Flex) 4p,24990,2010,223000,Manual,Botucatu,SP,Caro,24990.0
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),24990,2009,165000,Manual,Curitiba,PR,Caro,24990.0
Ford,Ka,Ka 1.6 (Flex),24990,2008,141718,Manual,Porto Alegre,RS,Caro,24990.0
Volkswagen,Fox,Fox Plus 1.0 8V (Flex),24990,2007,163000,Manual,São Paulo,SP,Caro,24990.0
Volkswagen,Polo Sedan,Polo Sedan 1.6 8V,24990,2004,135100,Manual,Campinas,SP,Caro,26900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),24996,2010,98000,Manual,Curitiba,PR,Barato,24996.0
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,25000,2012,180000,Manual,Araçatuba,SP,Caro,25000.0
Ford,Ka,Ka 1.0 (Flex),25000,2011,104000,Manual,Aracaju,SE,Barato,25000.0
Ford,Fiesta Sedan,Fiesta Sedan 1.0 (Flex),25000,2009,92000,Manual,Iguatu,CE,Barato,25000.0
Ford,Fiesta Sedan,Fiesta Sedan Class 1.6 (Flex),25000,2009,205000,Manual,Indaiatuba,SP,Caro,25000.0
Chevrolet,Prisma,Prisma Joy 1.4 (Flex),25000,2008,169565,Manual,Botucatu,SP,Caro,24990.0
Ford,Ka,Ka 1.0 (Flex),25300,2012,105000,Manual,Osasco,SP,Barato,25300.0
Volkswagen,Gol,Gol 1.0 (G5) (Flex),25490,2009,130000,Manual,Jaú,SP,Barato,25490.0
Fiat,Palio,Palio ELX 1.4 (Flex),25490,2006,194000,Manual,São José dos Campos,SP,Caro,25490.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25500,2010,123000,Manual,Natal,RN,Barato,25500.0
Ford,Focus Hatch,Focus Hatch GL 1.6 8V (Flex),25500,2008,131000,Manual,Suzano,SP,Barato,25500.0
Ford,EcoSport,Ecosport XL 1.6 (Flex),25500,2006,178128,Manual,Guarapuava,PR,Caro,25500.0
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,25800,2011,146000,Manual,Presidente Venceslau,SP,Caro,36900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25890,2011,222548,Manual,São Paulo,SP,Caro,25990.0
Renault,Sandero,Sandero Expression 1.6 8V (flex),25890,2010,129000,Manual,Belo Horizonte,MG,Barato,26900.0
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),25890,2009,124187,Manual,São Paulo,SP,Barato,29900.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 2p,25900,2014,120908,Manual,Curitiba,PR,Barato,25900.0
Renault,Clio,Clio Authentique 1.0 16V (Flex) 4p,25900,2014,98000,Manual,Colombo,PR,Barato,29900.0
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,25900,2013,171000,Manual,Jundiaí,SP,Caro,25900.0
Peugeot,207,207 Hatch XR Sport 1.4 8V (flex),25900,2012,117000,Manual,São Paulo,SP,Barato,25900.0
Ford,Ka,Ka 1.0 (Flex),25900,2012,88000,Manual,Cascavel,PR,Barato,25900.0
Ford,Ka,Ka 1.0 (Flex),25900,2012,105750,Manual,São Paulo,SP,Barato,25900.0
Jac,J3,J3 1.4,25900,2012,85000,Manual,Jaú,SP,Barato,25900.0
Ford,Ka,Ka 1.0 (Flex),25900,2012,133000,Manual,São José dos Campos,SP,Caro,25900.0
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2012,125100,Manual,São Gonçalo,RJ,Barato,25900.0
Ford,Ka,Ka 1.0 (Flex),25900,2012,118378,Manual,Ponta Grossa,PR,Barato,25900.0
Ford,Ka,Ka 1.0 (Flex),25900,2012,100000,Manual,Mogi das Cruzes,SP,Barato,25900.0
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2012,89000,Manual,São João de Meriti,RJ,Barato,25900.0
Renault,Logan,Logan Expression 1.0 16V (flex),25900,2011,129000,Manual,Aparecida de Goiânia,GO,Barato,25900.0
Jac,J6,J6 2.0 16V,25900,2011,118000,Manual,Sorocaba,SP,Barato,38990.0
Renault,Logan,Logan Expression 1.6 8V Hi-Torque (flex),25900,2012,152000,Manual,São João de Meriti,RJ,Caro,25900.0
Ford,Ka,Ka 1.0 (Flex),25900,2011,99000,Manual,Natal,RN,Barato,23990.0
Ford,Ka,Ka 1.0 (Flex),25900,2012,132000,Manual,Brasília,DF,Caro,25900.0
Peugeot,207 Sedan,207 Passion XS 1.6 16V (flex),25900,2011,110000,Manual,São Paulo,SP,Barato,25900.0
Renault,Sandero,Sandero Authentique 1.0 16V (flex),25900,2012,150000,Manual,Curitiba,PR,Caro,25900.0
Renault,Logan,Logan Expression 1.6 8V Hi-Torque (flex),25900,2012,164000,Manual,Curitiba,PR,Caro,25900.0
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2011,81500,Manual,Avaré,SP,Barato,25900.0
Chevrolet,Celta,Celta LT 1.0 (Flex),25900,2012,87000,Manual,São João de Meriti,RJ,Barato,28900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2011,149428,Manual,São Paulo,SP,Caro,25900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2011,93000,Manual,Carapicuíba,SP,Barato,27400.0
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),25900,2011,300,Manual,Curitiba,PR,Mediano,25900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,188000,Manual,São Paulo,SP,Caro,32900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,121000,Manual,Pinhais,PR,Barato,25900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,130200,Manual,São Paulo,SP,Barato,25900.0
Volkswagen,Gol,Gol 1.0 (G5) (Flex),25900,2011,150000,Manual,São Paulo,SP,Caro,25900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2010,187413,Manual,São Paulo,SP,Caro,25900.0
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2010,159420,Manual,Osasco,SP,Caro,25900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2010,127000,Manual,Campinas,SP,Barato,25900.0
Peugeot,207,207 Hatch XS 1.6 16V (flex),25900,2011,139000,Manual,São Leopoldo,RS,Caro,25900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2011,102000,Manual,São Mateus do Sul,PR,Barato,25900.0
Fiat,Siena,Siena EL 1.0 8V (Flex),25900,2010,161000,Manual,Rio das Ostras,RJ,Caro,25900.0
Volkswagen,Gol,Gol 1.0 (G5) (Flex),25900,2010,140000,Manual,Araruama,RJ,Caro,25900.0
Renault,Symbol,Symbol 1.6 8V Expression Hi-Torque (flex),25900,2011,103000,Manual,São Paulo,SP,Barato,30900.0
Ford,Fiesta Sedan,Fiesta Sedan 1.6 (Flex),25900,2010,106000,Manual,Nova Friburgo,RJ,Barato,25900.0
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2009,149000,Manual,Curitiba,PR,Caro,27900.0
Chevrolet,Meriva,Meriva Joy 1.4 (Flex),25900,2009,180000,Manual,Resende,RJ,Caro,25900.0
Fiat,Siena,Siena EL 1.0 8V (Flex),25900,2010,150000,Manual,Mogi Mirim,SP,Caro,25900.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,25900,2009,120010,Manual,Diadema,SP,Barato,25900.0
Ford,Fiesta Hatch,Fiesta Hatch Trail 1.0 (Flex),25900,2010,142950,Manual,Belo Horizonte,MG,Caro,25900.0
Citroën,C3,C3 GLX 1.4 8V (flex),25900,2009,118000,Manual,São Gonçalo,RJ,Barato,25900.0
Ford,Ka,Ka 1.6 (Flex),25900,2009,86000,Manual,Várzea Paulista,SP,Barato,27900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2010,142950,Manual,Belo Horizonte,MG,Caro,25900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2009,135000,Manual,Santo André,SP,Caro,25900.0
Renault,Sandero,Sandero Vibe 1.6 8V Hi-Torque (flex),25900,2009,170000,Manual,São Paulo,SP,Caro,25900.0
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,25900,2009,188338,Manual,Curitiba,PR,Caro,25900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2009,192000,Manual,São Paulo,SP,Caro,25900.0
Chevrolet,Meriva,Meriva Joy 1.4 (Flex),25900,2009,140000,Manual,Sapucaia do Sul,RS,Caro,25900.0
Chevrolet,Prisma,Prisma Maxx 1.0 (Flex),25900,2010,205000,Manual,Indaiatuba,SP,Caro,25900.0
Citroën,C3,C3 Exclusive 1.4 8V (flex),25900,2010,146000,Manual,Osasco,SP,Caro,25900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.0 (Flex),25900,2009,140000,Manual,Brasília,DF,Caro,25900.0
Ford,Fiesta Hatch,Fiesta Hatch 1.6 (Flex),25900,2010,109878,Manual,Curitiba,PR,Barato,25900.0
Ford,Fiesta Sedan,Fiesta Sedan 1.0 (Flex),25900,2009,140000,Manual,Campo Grande,MS,Caro,25900.0
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 4p,25900,2009,120000,Manual,Porto Alegre,RS,Barato,25900.0
Chevrolet,Celta,Celta Spirit 1.0 VHCE (Flex) 4p,25900,2009,118000,Manual,Colombo,PR,Barato,25900.0
Ford,Fiesta Sedan,Fiesta Sedan 1.6 (Flex),25900,2010,128000,Manual,Fortaleza,CE,Barato,25900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2009,167651,Manual,Guarulhos,SP,Caro,28900.0
Chevrolet,Prisma,Prisma Joy 1.4 (Flex),25900,2009,215082,Manual,Campinas,SP,Caro,25900.0
Volkswagen,Gol,Gol Trend 1.0 (G5) (Flex),25900,2009,114730,Manual,Botucatu,SP,Barato,25900.0
Ford,Focus Hatch,Focus Hatch GL 1.6 8V (Flex),25900,2008,198000,Manual,Botucatu,SP,Caro,25900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2008,184352,Manual,Belo Horizonte,MG,Caro,25900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25900,2008,177000,Manual,Curitiba,PR,Caro,25900.0
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2009,200000,Manual,São Bernardo do Campo,SP,Caro,25900.0
Renault,Sandero,Sandero Expression 1.0 16V (flex),25900,2009,222000,Manual,Jacareí,SP,Caro,25900.0
Volkswagen,Voyage,Voyage 1.0 Total Flex,25900,2009,171000,Manual,Jacareí,SP,Caro,31900.0
Renault,Sandero,Sandero Expression 1.6 8V (flex),25900,2008,164633,Manual,Joinville,SC,Caro,25900.0
Chevrolet,Meriva,Meriva Maxx 1.8 (Flex),25900,2008,107000,Manual,Porto Alegre,RS,Barato,25900.0
Chevrolet,Prisma,Prisma Maxx 1.4 (Flex),25900,2007,192000,Manual,São José do Rio Preto,SP,Caro,25900.0
Fiat,Palio,Palio ELX 1.4 (Flex),25900,2008,120000,Manual,Botucatu,SP,Barato,25900.0
Fiat,Idea,Idea ELX 1.4 (Flex),25900,2007,220000,Manual,Atibaia,SP,Caro,25900.0
Fiat,Palio,Palio 1.8 R (Flex),25900,2008,167495,Manual,São Paulo,SP,Caro,25900.0
Chevrolet,Corsa Sedan,Corsa Sedan Maxx 1.8 (Flex),25900,2006,161000,Manual,Catanduva,SP,Caro,25900.0
Volkswagen,Fox,Fox Plus 1.6 8V (Flex),25900,2006,157000,Manual,Ponta Grossa,PR,Caro,25900.0
Volkswagen,Fox,Fox Plus 1.6 8V (Flex) 2p,25900,2005,207590,Manual,Mogi das Cruzes,SP,Caro,25900.0
Chevrolet,Meriva,Meriva Maxx 1.8 (Flex),25900,2006,149000,Manual,Lins,SP,Caro,25900.0
Volkswagen,Parati,Parati Track Field 1.6 MI (Flex),25900,2005,100000,Manual,Porto Alegre,RS,Barato,25900.0
Volkswagen,Gol,Gol Copa 1.6 (G4) (Flex),25900,2006,135000,Manual,Catanduva,SP,Caro,25900.0
Volkswagen,Gol,Gol Power 1.6 (G4) (Flex),25900,2006,300,Manual,Viamão,RS,Mediano,25900.0
Chevrolet,Astra Sedan,Astra Sedan Elegance 2.0 (Flex),25900,2004,258471,Manual,Rio de Janeiro,RJ,Caro,25900.0
Ford,EcoSport,Ecosport XLT 1.6 8V,25900,2005,145000,Manual,Criciúma,SC,Caro,25900.0
Volkswagen,Fox,Fox Plus 1.6 8V (Flex),25900,2005,115000,Manual,São Carlos,SP,Barato,25900.0
Volkswagen,Fox,Fox Plus 1.6 8V (Flex) 2p,25900,2005,204000,Manual,São Paulo,SP,Caro,25900.0
Fiat,Punto,Punto ELX 1.4 (Flex),25950,2007,0,Manual,Rio de Janeiro,RJ,Mediano,26900.0
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)4p,25980,2011,113800,Manual,Mogi das Cruzes,SP,Barato,25980.0
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,25990,2012,200000,Manual,Brasília,DF,Caro,25990.0
Ford,Ka,Ka 1.0 (Flex),25990,2012,122202,Manual,Rio Claro,SP,Barato,25900.0
Fiat,Uno,Uno Attractive 1.4 8V (Flex) 4p,25990,2010,87654,Manual,Rio de Janeiro,RJ,Barato,29900.0
Fiat,Siena,Siena Fire 1.0 8V (Flex),25990,2011,199319,Manual,São Paulo,SP,Caro,25990.0
Chevrolet,Corsa Hatch,Corsa Hatch Maxx 1.4 (Flex),25990,2011,163000,Manual,Rio das Ostras,RJ,Caro,25990.0
