Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado
Volkswagen,Polo,Polo Hatch. 1.6 8V (Flex),23890,2005,148245,Manual,São Paulo,SP
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 2p,23900,2013,95850,Manual,Quixadá,CE
Peugeot,207,207 Hatch XR 1.4 8V (flex) 2p,23900,2012,176424,Manual,Brasília,DF
Volkswagen,Gol,Gol 1.0 8V (G4)(Flex)2p,23900,2012,300,Manual,Curitiba,PR
Chevrolet,Celta,Celta LS 1.0 (Flex) 2p,23900,2012,138000,Manual,São Paulo,SP
Chevrolet,Classic,Classic LS VHC E 1.0 (Flex),23900,2012,102000,Manual,São João de Meriti,RJ
Peugeot,207 Sedan,207 Passion XR 1.4 8V (flex),23900,2012,148110,Manual,São Paulo,SP
Ford,Ka,Ka 1.0 (Flex),23900,2012,150000,Manual,Mogi das Cruzes,SP
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 2p,23900,2011,160286,Manual,Campinas,SP
Fiat,Uno Mille,Uno Mille Fire Economy 1.0 (Flex) 4p,23900,2010,234000,Manual,Cotia,SP
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 2p,23900,2011,160286,Manual,Campinas,SP
Renault,Logan,Logan Expression 1.0 16V (flex),23900,2010,116000,Manual,São Paulo,SP
Kia,Picanto,Picanto EX 1.0,23900,2010,158000,Manual,Curitiba,PR
Ford,Fiesta Sedan,Fiesta Sedan 1.0 (Flex),23900,2009,121281,Manual,Aparecida de Goiânia,GO
Volkswagen,Fox,Fox City 1.0 8V (Flex),23900,2008,185050,Manual,São Paulo,SP
Volkswagen,Gol,Gol Power 1.6 (G4) (Flex),23900,2007,98000,Manual,Duque de Caxias,RJ
Fiat,Palio,Palio Fire 1.0 8V (Flex) 4p,23900,2007,230000,Manual,Belo Horizonte,MG
Ford,Ka,Ka 1.0 (Flex),23990,2013,142000,Manual,Campinas,SP
Ford,Ka,Ka 1.0 (Flex),23990,2011,99900,Manual,Barretos,SP
Chevrolet,Celta,Celta Life 1.0 VHCE (Flex) 4p,23990,2010,135000,Manual,São Paulo,SP
