Marca,Carro,Descrição,Preço,Ano,KM Rodado,Transmissão,Cidade,Estado
Nissan,Sentra,Sentra 2.0 16V (flex),39990,2011,128646,Automático,Porto Alegre,RS
Ford,Focus Hatch,Focus Hatch GLX 2.0 16V (Flex),39990,2010,115000,Automático,Americana,SP
Hyundai,i30,i30 GLS 2.0 16V,39990,2010,142000,Automático,Guaxupé,MG
Nissan,Sentra,Sentra S 2.0 16V (Aut) (flex),39990,2010,118336,Automático,Belo Horizonte,MG
Ford,EcoSport,Ecosport XLT 2.0 16V (Flex) (Aut),39990,2011,131148,Automático,Bauru,SP
Chevrolet,Astra Hatch,Astra Hatch Advantage 2.0 (Flex) (Aut),39990,2010,173000,Automático,São Paulo,SP
Hyundai,Azera,Azera 3.3 V6,39990,2009,106998,Automático,São Paulo,SP
Chevrolet,Captiva,Captiva Sport 2.4 16V (Aut),39990,2009,142000,Automático,Araras,SP
Toyota,Corolla,Corolla Sedan XLi 1.6 16V (aut),39990,2007,170000,Automático,São João de Meriti,RJ
Fiat,Grand Siena,Grand Siena Evo Attractive 1.0 (Flex),39999,2017,44100,Manual,Rio de Janeiro,RJ
Fiat,Grand Siena,Grand Siena Evo Attractive 1.0 (Flex),39999,2018,70000,Manual,Rio de Janeiro,RJ
Volkswagen,Gol,Gol 1.0 MPI Trendline (Flex),39999,2017,109509,Manual,Rio de Janeiro,RJ
Renault,Sandero,Sandero Expression 1.0 16V (Flex),39999,2015,55694,Manual,Rio de Janeiro,RJ
Volkswagen,Up!,Up! 1.0 12v E-Flex take up! 2p,39999,2014,60124,Manual,Maceió,AL
Volkswagen,Up!,Up! 1.0 12v E-Flex take up! 2p,39999,2014,70000,Manual,Maceió,AL
Volkswagen,Fox,Fox 1.0 TEC (Flex) 4p,39999,2013,113000,Manual,Ribeirão Preto,SP
Fiat,Strada,Strada Working 1.4 (Flex),39999,2014,80493,Manual,Rio de Janeiro,RJ
Chevrolet,Spin,Spin LS 5S 1.8 (Flex),39999,2013,101000,Manual,Barretos,SP
Renault,Sandero,Sandero Expression 1.0 12V SCe (Flex),40000,2017,68000,Manual,Rio de Janeiro,RJ
Volkswagen,Voyage,Voyage 1.0 TEC Comfortline (Flex),40000,2016,90000,Manual,Rio de Janeiro,RJ
Volkswagen,Gol,Gol 1.0 TEC Trendline (Flex) 2p,40000,2015,68000,Manual,Ananindeua,PA
Volkswagen,Fox,Fox 1.0 TEC (Flex) 2p,40000,2013,130000,Manual,Araucária,PR
Volkswagen,Fox,Fox 1.6 VHT (Flex),40000,2012,114000,Manual,Três Lagoas,MS
Volkswagen,Saveiro,Saveiro 1.6 (Flex),40000,2010,198754,Manual,Taquaritinga,SP
Mitsubishi,Pajero TR4,Pajero TR4 2.0 16V (aut),40000,2006,141260,Automático,Lins,SP
Toyota,Corolla,Corolla Sedan SEG 1.8 16V (nova série) (aut),40000,2006,190000,Automático,Foz do Iguaçu,PR
Ford,Ka,Ka Hatch SE 1.5 16v (Flex),40034,2016,40000,Manual,Rio de Janeiro,RJ
Ford,Ka,Ka Hatch SE 1.5 16v (Flex),40099,2016,52845,Manual,Rio de Janeiro,RJ
Renault,Sandero Stepway,Sandero Stepway 1.6 16V Hi-Flex (aut),40099,2013,89282,Automático,Rio de Janeiro,RJ
Renault,Logan,Logan Authentique 1.0 12V SCe (Flex),40290,2018,50000,Manual,Rio de Janeiro,RJ
Renault,Sandero,Sandero Authentique 1.0 12V SCe (Flex),40299,2019,41400,Manual,Rio de Janeiro,RJ
Chevrolet,Prisma,Prisma 1.0 LT SPE/4,40320,2014,58282,Manual,Rio de Janeiro,RJ
Fiat,Grand Siena,Grand Siena Evo Attractive 1.0 (Flex),40499,2017,38239,Manual,Rio de Janeiro,RJ
Hyundai,HB20,HB20 1.0 Comfort,40499,2014,57367,Manual,Rio de Janeiro,RJ
Honda,City,City LX 1.5 16V (flex),40499,2012,57535,Manual,Rio de Janeiro,RJ
Citroën,C3,C3 Attraction 1.5 8V (Flex),40500,2014,99000,Manual,São Paulo,SP
Nissan,March,March 1.0 12V SV (Flex),40500,2014,104432,Manual,Colombo,PR
Renault,Logan,Logan Dynamique 1.6 8V Easy-r (Aut),40500,2014,82000,Automático,São Paulo,SP
Volkswagen,Gol,Gol 1.0 TEC Special (Flex) 4p,40500,2014,89000,Manual,Aracaju,SE
Hyundai,HB20S,HB20S 1.0 Comfort Plus,40500,2014,72955,Manual,Rio de Janeiro,RJ
Chevrolet,Onix,Onix 1.0 LT SPE/4,40500,2013,128806,Manual,Curitiba,PR
Volkswagen,CrossFox,CrossFox 1.6 (Flex),40500,2010,129000,Manual,Curitiba,PR
Fiat,Doblò,Doblò Essence 1.8 16V (Flex),40699,2014,55771,Manual,Rio de Janeiro,RJ
Renault,Sandero,Sandero Authentique 1.0 12V SCe (Flex),40700,2017,110485,Manual,Belo Horizonte,MG
Volkswagen,Saveiro,Saveiro Trend 1.6 (Flex) (cab. estendida),40700,2010,179000,Manual,Araraquara,SP
Honda,Fit,New Fit LX 1.4 (flex),40700,2009,100000,Manual,São Paulo,SP
Volkswagen,Voyage,Voyage 1.0 TEC Comfortline (Flex),40791,2015,172000,Manual,São João de Meriti,RJ
Ford,Ka,Ka Hatch SE 1.0 (Flex),40800,2015,87848,Manual,Bauru,SP
Fiat,Idea,Idea Adventure 1.8 16V E.TorQ (Flex),40800,2013,300,Manual,Curitiba,PR
Chevrolet,Prisma,Prisma 1.0 LT SPE/4,40800,2013,135000,Manual,São Paulo,SP
Nissan,March,March 1.0 12V S (Flex),40890,2015,165000,Manual,Campinas,SP
Ford,Ka,Ka Hatch SE 1.0 (Flex),40890,2015,140000,Manual,Campinas,SP
Honda,Fit,New Fit LX 1.4 (flex) (aut),40890,2009,190000,Automático,Campinas,SP
Renault,Logan,Logan Authentique 1.0 12V SCe (Flex),40899,2018,46464,Manual,Rio de Janeiro,RJ
Chevrolet,Spin,Spin LT 5S 1.8 (Flex),40899,2014,58945,Manual,Rio de Janeiro,RJ
Hyundai,HB20S,HB20S 1.0 Comfort Plus,40899,2014,111490,Manual,Rio de Janeiro,RJ
Renault,Sandero,Sandero Authentique 1.0 12V SCe (Flex),40900,2017,79000,Manual,Curitiba,PR
Fiat,Uno,Uno Drive 1.0 Firefly (Flex),40900,2017,208000,Manual,Belo Horizonte,MG
Renault,Kwid,Kwid Zen 1.0 12v SCe (Flex),40900,2017,55465,Manual,Belo Horizonte,MG
Renault,Logan,Logan Authentique 1.0 12V SCe (Flex),40900,2018,158291,Manual,São Paulo,SP
Renault,Sandero,Sandero Expression 1.0 12V SCe (Flex),40900,2017,57000,Manual,Rio das Ostras,RJ
Renault,Logan,Logan Authentique 1.0 12V SCe (Flex),40900,2017,159778,Manual,Brasília,DF
Renault,Kwid,Kwid Zen 1.0 12v SCe (Flex),40900,2017,117201,Manual,Anápolis,GO
Fiat,Mobi,Mobi FireFly Drive 1.0 (Flex),40900,2017,100,Manual,São João de Meriti,RJ
Fiat,Uno,Uno Drive 1.0 Firefly (Flex),40900,2017,165120,Manual,Praia Grande,SP
Fiat,Mobi,Mobi Evo Easy 1.0 (Flex),40900,2016,89000,Manual,Natal,RN
Fiat,Uno,Uno Attractive 1.0 8V (Flex) 4p,40900,2015,81000,Manual,São Paulo,SP
Volkswagen,Gol,Gol 1.0 TEC Special (Flex) 4p,40900,2016,74507,Manual,Juazeiro do Norte,CE
Renault,Sandero,Sandero Authentique 1.0 16V (Flex),40900,2015,120235,Manual,Curitiba,PR
Renault,Sandero,Sandero Authentique 1.0 16V (Flex),40900,2015,133000,Manual,Jundiaí,SP
Renault,Sandero,Sandero Authentique 1.0 16V (Flex),40900,2016,118000,Manual,Curitiba,PR
Fiat,Punto,Punto Attractive 1.4 (Flex),40900,2016,1111,Manual,Rio de Janeiro,RJ
Renault,Sandero,Sandero Expression 1.0 16V (Flex),40900,2015,92600,Manual,Suzano,SP
Nissan,March,March 1.0 12V SV (Flex),40900,2014,63581,Manual,Recife,PE
Volkswagen,Gol,Gol 1.0 TEC Track (Flex),40900,2014,144000,Manual,Belo Horizonte,MG
Ford,Ka,Ka Hatch SE 1.0 (Flex),40900,2014,81000,Manual,Curitiba,PR
Ford,Ka,Ka Hatch SE 1.5 16v (Flex),40900,2014,92000,Manual,Lavras,MG
Volkswagen,Up!,Up! 1.0 12v E-Flex take up! 4p,40900,2014,106046,Manual,Belo Horizonte,MG
Volkswagen,Up!,Up! 1.0 12v E-Flex take up! 4p,40900,2014,80466,Manual,São José dos Pinhais,PR
Nissan,March,March 1.0 12V S (Flex),40900,2014,145429,Manual,Jaraguá do Sul,SC
Nissan,March,March 1.0 12V S (Flex),40900,2014,89298,Manual,Votuporanga,SP
Nissan,March,March 1.0 12V S (Flex),40900,2014,89298,Manual,Araçatuba,SP
Nissan,March,March 1.0 12V S (Flex),40900,2014,89298,Manual,São José do Rio Preto,SP
Nissan,March,March 1.0 12V S (Flex),40900,2014,89298,Manual,Catanduva,SP
Volkswagen,Gol,Gol 1.0 TEC Seleção(Flex),40900,2014,145200,Manual,Cascavel,PR
Renault,Sandero,Sandero Expression 1.6 8V,40900,2015,78369,Automático,Belo Horizonte,MG
Nissan,March,March 1.0 12V S (Flex),40900,2014,89298,Manual,São José do Rio Preto,SP
Nissan,March,March 1.0 12V S (Flex),40900,2014,89298,Manual,Araçatuba,SP
Citroën,C3,C3 Origine 1.5 8V (Flex),40900,2014,112000,Manual,São José,SC
Renault,Logan,Logan Expression 1.0 16V (flex),40900,2014,101,Manual,Várzea Grande,MT
Fiat,Uno,Uno Sporting 1.4 8V (Flex) 4p,40900,2014,90000,Manual,Angra dos Reis,RJ
Renault,Logan,Logan Expression 1.6 8V,40900,2014,98017,Manual,Belo Horizonte,MG
Citroën,C3,C3 Tendance 1.5 8V (Flex),40900,2013,87460,Manual,Guarulhos,SP
Renault,Logan,Logan Dynamique 1.6 8V,40900,2013,300,Manual,Paranaguá,PR
Citroën,C3,C3 Tendance 1.5 8V (Flex),40900,2014,88658,Manual,São Carlos,SP
Volkswagen,Gol,Gol 1.0 TEC City (Flex) 4p,40900,2013,149000,Manual,Avaré,SP
Volkswagen,SpaceFox,SpaceFox 1.6 8V (Flex),40900,2013,72800,Manual,Mauá,SP
Peugeot,208,208 1.5 8V Allure (Flex),40900,2013,116000,Manual,Joinville,SC
Fiat,Uno,Uno Sporting 1.4 8V (Flex) 4p,40900,2013,92000,Manual,Porto Alegre,RS
Volkswagen,Fox,Fox 1.0 TEC (Flex) 2p,40900,2013,152172,Manual,Maricá,RJ
Peugeot,208,208 1.5 8V Active Pack (Flex),40900,2013,107896,Manual,Porto Alegre,RS
Citroën,C3,C3 Tendance 1.5 8V (Flex),40900,2014,77052,Manual,Recanto das Emas,DF
Volkswagen,Gol,Gol 1.0 TEC Track (Flex),40900,2014,132689,Manual,Curitiba,PR
Volkswagen,Fox,Fox 1.0 TEC (Flex) 2p,40900,2013,111000,Manual,Mirassol,SP
Volkswagen,Gol,Gol 1.0 TEC Seleção (Flex),40900,2014,161000,Manual,Joinville,SC
Chevrolet,Agile,Agile LTZ 1.4 8V (Flex),40900,2013,0,Manual,Sete Lagoas,MG
Volkswagen,Fox,Fox 1.0 TEC (Flex) 4p,40900,2013,69852,Manual,Belém,PA
Volkswagen,Fox,Fox 1.0 TEC (Flex) 4p,40900,2013,187760,Manual,Joinville,SC
Volkswagen,Voyage,Voyage 1.6 VHT (Flex),40900,2013,88000,Manual,Volta Redonda,RJ
Ford,New Fiesta Hatch,New Fiesta S 1.5 16V,40900,2013,106913,Manual,Contagem,MG
Ford,Focus Hatch,Focus Hatch GLX 2.0 16V (Flex),40900,2012,141680,Manual,São José,SC
Toyota,Etios Sedan,Etios Sedan XS 1.5 (Flex),40900,2013,80000,Manual,Ananindeua,PA
Citroën,Aircross,Aircross GLX 1.6 16V (flex),40900,2012,97312,Manual,Belo Horizonte,MG
Toyota,Etios Sedan,Etios Sedan XLS 1.5 (Flex),40900,2013,78000,Manual,São Paulo,SP
Citroën,Aircross,Aircross GLX 1.6 16V (flex),40900,2012,105000,Manual,Santos,SP
Chevrolet,Prisma,Prisma 1.0 LT SPE/4,40900,2013,93127,Manual,Belo Horizonte,MG
Toyota,Etios Hatch,Etios XLS 1.5 (Flex),40900,2013,108600,Manual,Belo Horizonte,MG
Ford,Focus Sedan,Focus Sedan GLX 2.0 16V (Flex) (Aut),40900,2012,171086,Automático,Sorocaba,SP
Fiat,Strada,Strada Working 1.4 (Flex),40900,2013,275000,Manual,Guarulhos,SP
Peugeot,308,308 Feline 2.0 16v (Flex) (Aut),40900,2012,109000,Automático,Curitiba,PR
Chevrolet,Onix,Onix 1.0 LT SPE/4,40900,2013,187000,Manual,Belo Horizonte,MG
Citroën,C3,C3 Exclusive 1.6 16V (Flex),40900,2012,140000,Manual,Sapucaia do Sul,RS
Chevrolet,Cobalt,Cobalt LT 1.4 8V (Flex),40900,2013,164000,Manual,São José do Rio Preto,SP
Volkswagen,Saveiro,Saveiro 1.6 (Flex),40900,2012,130000,Manual,São José,SC
Ford,Focus Hatch,Focus Hatch GL 1.6 16V (Flex),40900,2013,116171,Manual,Osasco,SP
Toyota,Etios Hatch,Etios XLS 1.5 (Flex),40900,2013,95000,Manual,Marília,SP
Chevrolet,Cobalt,Cobalt LTZ 1.8 8V (Aut) (Flex),40900,2013,92000,Automático,São João de Meriti,RJ
Chevrolet,Cobalt,Cobalt LT 1.4 8V (Flex),40900,2012,103000,Manual,Volta Redonda,RJ
Fiat,Punto,Punto Attractive 1.4 (Flex),40900,2012,140000,Manual,Itapetininga,SP
Volkswagen,SpaceFox,SpaceFox 1.6 8V (Flex),40900,2012,170000,Manual,Joinville,SC
Volkswagen,Saveiro,Saveiro 1.6 (Flex),40900,2011,165057,Manual,Sorocaba,SP
Nissan,Livina,Livina X-Gear SL 1.8 16V (flex) (aut),40900,2011,123000,Automático,São Paulo,SP
Volkswagen,Polo,Polo Hatch 1.6 VHT Total Flex,40900,2011,145000,Manual,Jundiaí,SP
Ford,EcoSport,Ecosport XLT Freestyle 1.6 (Flex),40900,2011,125000,Manual,São Paulo,SP
Volkswagen,Kombi,Kombi Standard 1.4 (Flex),40900,2011,198000,Manual,São Paulo,SP
Fiat,Palio Weekend,Palio Weekend Adventure 1.8 16V (Flex),40900,2011,179300,Manual,Curitiba,PR
Renault,Sandero Stepway,Sandero Stepway 1.6 16V Hi-Flex (aut),40900,2011,104000,Automático,Serra,ES
Kia,Soul,Soul EX 1.6 U.163,40900,2011,149000,Manual,São José dos Pinhais,PR
Fiat,500,500 Cult 1.4 8V,40900,2012,90000,Manual,Salvador,BA
Ford,EcoSport,Ecosport XLT 2.0 16V (Flex),40900,2010,163000,Manual,Vargem Grande Paulista,SP
Chevrolet,Vectra GT,Vectra GT 2.0 8V (Flex),40900,2010,180000,Manual,Bauru,SP
Fiat,Palio Weekend,Palio Weekend Adventure 1.8 16V (Flex),40900,2010,182341,Manual,Taubaté,SP
Volkswagen,CrossFox,CrossFox 1.6 (Flex),40900,2010,168668,Manual,Taubaté,SP
Honda,City,City EXL 1.5 16V (flex),40900,2009,150523,Automático,Natal,RN
Volkswagen,Golf,Golf Tech 1.6 (Flex),40900,2009,145000,Manual,Palmeira das Missões,RS
Volkswagen,Golf,Golf Sportline 1.6 (Flex),40900,2008,200000,Manual,Jacareí,SP
Toyota,Corolla,Corolla Sedan XEi 1.8 16V (flex),40900,2007,165000,Manual,Nova Friburgo,RJ
Volkswagen,Golf,Golf 1.6 (Flex),40900,2008,194000,Manual,Catanduva,SP
Honda,Civic,New Civic LXS 1.8,40900,2007,161845,Automático,Curitiba,PR
Honda,Civic,New Civic LXS 1.8 (Aut) (Flex),40900,2007,220000,Automático,São Paulo,SP
Fiat,Uno,Uno Sporting 1.4 8V (Flex) 4p,40980,2014,70000,Manual,Rio de Janeiro,RJ
Ford,EcoSport,Ecosport XLT Freestyle 1.6 (Flex),40980,2011,156198,Manual,São Paulo,SP
Ford,EcoSport,Ecosport XLT Freestyle 1.6 (Flex),40980,2012,134239,Manual,São Paulo,SP
Renault,Kwid,Kwid Zen 1.0 12v SCe (Flex),40990,2018,109600,Manual,São João da Boa Vista,SP
Fiat,Uno,Uno Attractive 1.0 Firefly (Flex),40990,2017,139489,Manual,Fazenda Rio Grande,PR
Fiat,Palio,Palio Attractive 1.4 Evo (Flex),40990,2015,80000,Manual,São Bernardo do Campo,SP
Nissan,March,March 1.0 12V S (Flex),40990,2015,70000,Manual,São Paulo,SP
Fiat,Siena,Siena EL 1.0 8V (Flex),40990,2015,74600,Manual,Santo André,SP
Renault,Logan,Logan Expression 1.0 16V (flex),40990,2015,165706,Manual,Valinhos,SP
Ford,New Fiesta Hatch,New Fiesta S 1.5 16V,40990,2015,97452,Manual,São João de Meriti,RJ
Nissan,March,March 1.0 12V Conforto (Flex),40990,2015,58000,Manual,São Paulo,SP
Ford,Ka,Ka Hatch SEL 1.0 (Flex),40990,2015,155000,Manual,Curitiba,PR
Volkswagen,Gol,Gol 1.0 TEC City (Flex) 4p,40990,2014,56257,Manual,Fortaleza,CE
Ford,Ka,Ka Hatch SE 1.0 (Flex),40990,2015,123142,Manual,Campinas,SP
Volkswagen,Fox,Fox 1.0 TEC (Flex) 4p,40990,2013,89198,Manual,Praia Grande,SP
Chevrolet,Cobalt,Cobalt LT 1.4 8V (Flex),40990,2013,78400,Manual,Itu,SP
Chevrolet,Cobalt,Cobalt LT 1.4 8V (Flex),40990,2013,78400,Manual,Registro,SP
Chevrolet,Onix,Onix 1.0 LT SPE/4,40990,2014,132000,Manual,São Paulo,SP
Fiat,Punto,Punto Essence 1.6 16V Dualogic (Flex),40990,2013,70400,Automático,São Bernardo do Campo,SP
Fiat,Grand Siena,Grand Siena Attractive 1.4 8V (Flex),40990,2013,106000,Manual,Votuporanga,SP
Chevrolet,Agile,Agile LTZ 1.4 Easytronic (Flex),40990,2013,84000,Automático,Campinas,SP
Fiat,Punto,Punto Essence 1.6 16V (Flex),40990,2014,93000,Manual,Campinas,SP
Volkswagen,Fox,Fox 1.0 TEC (Flex) 4p,40990,2013,128464,Manual,Valinhos,SP
Citroën,C3,C3 Tendance 1.5 8V (Flex),40990,2013,78000,Manual,São Paulo,SP
Nissan,March,March 1.6 16V SV (Flex),40990,2013,94416,Manual,Campo Grande,MS
Chevrolet,Cobalt,Cobalt LT 1.4 8V (Flex),40990,2013,78400,Manual,Tietê,SP
Chevrolet,Cobalt,Cobalt LT 1.4 8V (Flex),40990,2013,78400,Manual,Pirassununga,SP
Chevrolet,Cobalt,Cobalt LT 1.4 8V (Flex),40990,2013,78400,Manual,Americana,SP
Volkswagen,Fox,Fox 1.6 VHT (Flex),40990,2013,150893,Manual,Osasco,SP
Chevrolet,Montana,Montana LS 1.4 (Flex),40990,2012,122733,Manual,São Paulo,SP
Hyundai,HB20,HB20 1.0 Comfort,40990,2013,119000,Manual,Campinas,SP
Volkswagen,Saveiro,Saveiro 1.6 (Flex),40990,2013,140000,Manual,Balneário Camboriú,SC
Volkswagen,Polo Sedan,Polo Sedan 1.6 8V (Flex),40990,2012,108000,Manual,Campinas,SP
Kia,Soul,Soul 1.6 16V U.111,40990,2011,90000,Manual,Goiânia,GO
Hyundai,i30 CW,i30 CW 2.0i GLS,40990,2010,134500,Manual,São José,SC
Volkswagen,Saveiro,Saveiro Trooper 1.6 (Flex) (cab. estendida),40990,2011,106000,Manual,São Paulo,SP
Kia,Soul,Soul 1.6 16V U.113,40990,2011,133000,Manual,São Paulo,SP
Renault,Sandero,Sandero Authentique 1.0 12V SCe (Flex),40994,2017,102000,Manual,Ribeirão Preto,SP
Renault,Kwid,Kwid 1.0 Zen,40999,2019,67000,Manual,São João de Meriti,RJ
Volkswagen,Gol,Gol 1.0 MPI Trendline (Flex),40999,2016,79105,Manual,São João de Meriti,RJ
Ford,Ka,Ka Hatch SE 1.0 (Flex),40999,2014,88956,Manual,Osasco,SP
Fiat,Palio,Palio Attractive 1.0 Evo (Flex),40999,2015,54000,Manual,São Paulo,SP
Volkswagen,Voyage,Voyage 1.6 VHT Trendline (Flex),41000,2014,95000,Manual,Rolim de Moura,RO
Volkswagen,Voyage,Voyage 1.0 TEC Trendline,41000,2015,60000,Manual,Fortaleza,CE
Volkswagen,Fox,Fox 1.0 TEC (Flex) 4p,41000,2013,118900,Manual,Ubatuba,SP
Fiat,Punto,Punto Attractive 1.4 (Flex),41000,2014,96000,Manual,Mogi das Cruzes,SP
Volkswagen,Fox,Fox 1.6 VHT (Flex),41000,2014,101482,Manual,Americana,SP
Chevrolet,Cobalt,Cobalt LTZ 1.4 8V (Flex),41000,2012,115000,Manual,São Gabriel do Oeste,MS
Ford,EcoSport,Ecosport XLT 2.0 16V (Flex),41000,2010,112000,Automático,São Paulo,SP
Volkswagen,Saveiro,Saveiro 1.6 (Flex),41000,2010,140000,Manual,Araraquara,SP
Volkswagen,Saveiro,Saveiro 1.6 Startline CS (Flex),41299,2015,53674,Manual,Rio de Janeiro,RJ
Chevrolet,Onix,Onix 1.0 LT SPE/4,41300,2013,180324,Manual,Palhoça,SC
Renault,Sandero,Sandero Expression 1.0 12V SCe (Flex),41399,2018,64222,Manual,Rio de Janeiro,RJ
Ford,Ka,Ka Hatch SE 1.0 (Flex),41400,2015,110000,Manual,São José dos Campos,SP
Ford,Ka,Ka Hatch SE 1.0 (Flex),41400,2015,120000,Manual,São José dos Campos,SP
Volkswagen,Fox,Fox 1.0 TEC (Flex) 2p,41400,2013,122641,Manual,Osasco,SP
Fiat,Mobi,Mobi Evo Easy On 1.0 (Flex),41490,2017,99264,Manual,São Paulo,SP
Fiat,Uno,Uno Sporting 1.4 8V (Flex) 4p,41499,2013,73000,Manual,São Bernardo do Campo,SP
Renault,Sandero,Sandero Expression 1.0 12V SCe (Flex),41500,2016,115000,Manual,Belo Horizonte,MG
Nissan,March,March 1.0 12V SV (Flex),41500,2014,127000,Manual,Belo Horizonte,MG
Volkswagen,Fox,Fox 1.0 TEC (Flex) 4p,41500,2013,154000,Manual,Barueri,SP
Volkswagen,Fox,Fox 1.6 VHT (Flex),41500,2013,138900,Manual,Curitiba,PR
Volkswagen,Gol,Gol 1.6 VHT City (Flex) 4p,41500,2013,100000,Manual,Goiânia,GO
Volkswagen,Fox,Fox 1.6 VHT (Flex),41500,2014,112000,Manual,Guarulhos,SP
Chevrolet,Montana,Montana LS 1.4 (Flex),41500,2012,92200,Manual,Itapema,SC
Volkswagen,SpaceFox,SpaceFox 1.6 8V Trend (Flex),41500,2011,102000,Manual,Colombo,PR
Kia,Picanto,Picanto 1.0 (Aut) (Flex) J368,41500,2012,61631,Automático,Rio de Janeiro,RJ
Land,Rover Freelander,Freelander 2 SE 4x4 3.2 24V (aut),41500,2008,58000,Automático,Catanduva,SP
Renault,Sandero,Sandero Authentique 1.0 12V SCe (Flex),41590,2017,103423,Manual,São Paulo,SP
Renault,Fluence,Fluence 2.0 16V Dynamique (Flex),41590,2013,130887,Manual,Joinville,SC
Volkswagen,Gol,Gol 1.6 MSI Trendline (Flex),41690,2018,5000,Manual,São João de Meriti,RJ
Ford,New Fiesta Hatch,New Fiesta SE 1.6 16V,41699,2014,88000,Manual,Belo Horizonte,MG
Fiat,Doblò,Doblò Essence 1.8 16V (Flex),41699,2013,49792,Manual,Rio de Janeiro,RJ
Ford,Ka,Ka Hatch SE Plus 1.0 (Flex),41700,2016,96000,Manual,Palmas,TO
Volkswagen,Up!,Up! 1.0 12v E-Flex take up! 4p,41700,2014,97000,Manual,Campinas,SP
Volkswagen,Saveiro,Saveiro 1.6 Startline CS (Flex),41799,2016,57500,Manual,Rio de Janeiro,RJ
Fiat,Palio,Palio Attractive 1.0 Evo (Flex),41800,2017,110000,Manual,Maringá,PR
Renault,Sandero,Sandero Expression 1.0 16V (Flex),41800,2016,83772,Manual,Curitiba,PR
Fiat,Uno,Uno Attractive 1.0 8V (Flex) 4p,41800,2016,112000,Manual,Marília,SP
Volkswagen,Gol,Gol 1.0 TEC Special (Flex) 4p,41800,2015,125000,Manual,São Bernardo do Campo,SP
Nissan,March,March 1.0 12V S (Flex),41800,2016,99279,Manual,São Bernardo do Campo,SP
Fiat,Uno,Uno Attractive 1.0 8V (Flex) 4p,41800,2014,85000,Manual,Fernandópolis,SP
Ford,New Fiesta Hatch,New Fiesta S 1.5 16V,41800,2014,133800,Manual,Sorocaba,SP
Chevrolet,Onix,Onix 1.4 LT SPE/4,41800,2012,110000,Manual,São José do Rio Preto,SP
Volkswagen,SpaceFox,SpaceFox 1.6 8V (Flex),41800,2013,94000,Manual,São Paulo,SP
Fiat,500,500 Cult 1.4 8V,41800,2011,66000,Manual,São Paulo,SP
Volkswagen,Saveiro,Saveiro 1.6 (Flex),41800,2010,99000,Manual,São José do Rio Preto,SP
Ford,Fusion,Fusion 2.5 16V SEL,41800,2010,1111,Automático,Teresópolis,RJ
Ford,New Fiesta Hatch,New Fiesta SE 1.5 16V,41870,2014,125000,Manual,São Paulo,SP
Nissan,Sentra,Sentra S 2.0 16V CVT (flex),41880,2012,98000,Automático,Niterói,RJ
Ford,EcoSport,Ecosport XLT Freestyle 1.6 (Flex),41880,2012,130892,Automático,São Paulo,SP
Ford,EcoSport,Ecosport XLT Freestyle 1.6 (Flex),41880,2012,130892,Manual,São Paulo,SP
Renault,Sandero,Sandero Expression 1.0 16V (Flex),41890,2016,61000,Manual,São Paulo,SP
Renault,Logan,Logan Expression 1.6 8V (Flex),41890,2016,112391,Manual,São Bernardo do Campo,SP
Ford,Ka,Ka Hatch SE 1.0 (Flex),41890,2014,129784,Manual,São Paulo,SP
Renault,Logan,Logan Dynamique 1.6 8V,41890,2015,100200,Manual,Campinas,SP
Renault,Sandero,Sandero Expression Easy-r 1.6 8V (Flex),41890,2015,96302,Automático,Campinas,SP
Fiat,Idea,Idea Attractive 1.4 8V (Flex),41890,2014,88380,Manual,São Bernardo do Campo,SP
Volkswagen,Fox,Fox 1.6 VHT (Flex),41890,2013,118000,Manual,São Paulo,SP
Fiat,Punto,Punto Sporting 1.8 16V (Flex),41890,2013,99000,Manual,Campinas,SP
Renault,Sandero Stepway,Sandero Stepway 1.6 16V Hi-Flex (aut),41890,2012,81792,Automático,Santos,SP
Nissan,Sentra,Sentra Special Edition 2.0 16V CVT (flex),41890,2012,128775,Automático,São Paulo,SP
Renault,Fluence,Fluence 2.0 16V Dynamique (Aut) (Flex),41890,2011,138000,Automático,Florianópolis,SC
Volkswagen,Golf,Golf 1.6 (Flex),41890,2009,92000,Manual,Osasco,SP
Chevrolet,Blazer,Blazer Advantage 4x2 2.4 (Flex),41890,2007,193799,Manual,Curitiba,PR
Honda,Civic,New Civic LXS 1.8 (Aut),41890,2006,178000,Automático,São Paulo,SP
Volkswagen,Up!,Up! 1.0 12v E-Flex take up! 4p,41899,2014,185500,Manual,Curitiba,PR
Peugeot,308,308 Active 1.6 16v (Flex),41899,2013,92000,Manual,Osasco,SP
Ford,EcoSport,Ecosport XLT Freestyle 1.6 (Flex),41899,2011,153000,Manual,Osasco,SP
Honda,Fit,New Fit LXL 1.4 (flex),41899,2009,108000,Manual,Osasco,SP
Fiat,Mobi,Mobi 1.0 Evo Easy,41900,2019,58000,Manual,Rio de Janeiro,RJ
Fiat,Mobi,Mobi 1.0 Evo Easy,41900,2019,58000,Manual,Rio de Janeiro,RJ
Fiat,Uno,Uno Attractive 1.0 (Flex),41900,2018,49000,Manual,Aparecida de Goiânia,GO
Fiat,Uno,Uno Attractive 1.0 (Flex),41900,2018,90816,Manual,Olinda,PE
Renault,Kwid,Kwid Zen 1.0 12v SCe (Flex),41900,2018,113000,Manual,São Paulo,SP
